"CU0Date","CU0Close","CU0_hpft","CU0_hpfc"
2019-08-22,46310,47111.3221214129,-801.322121412898
2019-08-23,46400,47107.1159389119,-707.115938911874
2019-08-26,46020,47102.9858563345,-1082.98585633453
2019-08-27,46380,47098.9235408349,-718.923540834914
2019-08-28,46560,47094.9202119045,-534.920211904481
2019-08-29,46550,47090.9667918607,-540.966791860726
2019-08-30,46690,47087.0539819065,-397.053981906467
2019-09-02,46640,47083.1722596306,-443.172259630608
2019-09-03,46370,47079.311938496,-709.311938496019
2019-09-04,46620,47075.4631487759,-455.463148775912
2019-09-05,46970,47071.6157275425,-101.615727542462
2019-09-06,47430,47067.7593235977,362.240676402314
2019-09-09,47420,47063.8835437398,356.116456260244
2019-09-10,47430,47059.9781445025,370.021855497462
2019-09-11,47290,47056.0330296243,233.966970375711
2019-09-12,47490,47052.0382557952,437.961744204836
2019-09-16,47560,47047.9839764181,512.016023581889
2019-09-17,47340,47043.8605259315,296.139474068534
2019-09-18,47310,47039.658450421,270.341549579007
2019-09-19,47070,47035.368418384,34.6315816159764
2019-09-20,47130,47030.9812100667,99.0187899332488
2019-09-23,46870,47026.4876200301,-156.487620030092
2019-09-24,47120,47021.8784837659,98.1215162341208
2019-09-25,47000,47017.14457208,-17.1445720799582
2019-09-26,47120,47012.2766963375,107.723303662485
2019-09-27,46920,47007.2656608173,-87.2656608173134
2019-09-30,47250,47002.1023143264,247.897685673581
2019-10-08,46770,46996.7774695993,-226.777469599324
2019-10-09,46600,46991.2820418419,-391.282041841946
2019-10-10,46700,46985.6068525196,-285.606852519589
2019-10-11,46910,46979.7425613572,-69.7425613571916
2019-10-14,46970,46973.6797100211,-3.67971002109364
2019-10-15,46960,46967.4088113489,-7.40881134889264
2019-10-16,46750,46960.9203766576,-210.920376657624
2019-10-17,46650,46954.2049142018,-304.204914201805
2019-10-18,46570,46947.2528450485,-377.252845048532
2019-10-21,47020,46940.05446452,79.9455354799505
2019-10-22,47120,46932.5999119978,187.400088002223
2019-10-23,46930,46924.8793599086,5.12064009144382
2019-10-24,47360,46916.8830581432,443.11694185677
2019-10-25,47390,46908.6012587095,481.398741290522
2019-10-28,47430,46900.0243967815,529.975603218547
2019-10-29,47340,46891.1431065249,448.85689347512
2019-10-30,47510,46881.9482411751,628.051758824857
2019-10-31,47330,46872.4308395074,457.56916049259
2019-11-01,47120,46862.5821999076,257.417800092396
2019-11-04,47040,46852.3938099036,187.606190096437
2019-11-05,47250,46841.8572634281,408.142736571893
2019-11-06,47190,46830.9642319643,359.035768035748
2019-11-07,47150,46819.7065557028,330.293444297233
2019-11-08,47240,46808.0762232475,431.923776752475
2019-11-11,47110,46796.0653597308,313.934640269167
2019-11-12,47180,46783.6662688262,396.333731173766
2019-11-13,46970,46770.8713839744,199.128616025614
2019-11-14,47030,46757.673302444,272.326697556026
2019-11-15,46930,46744.0647038167,185.935296183318
2019-11-18,46980,46730.0383802423,249.961619757714
2019-11-19,46890,46715.5872007285,174.412799271516
2019-11-20,47050,46700.7041376078,349.295862392224
2019-11-21,47110,46685.3822353072,424.617764692798
2019-11-22,46870,46669.6146826401,200.385317359887
2019-11-25,47100,46653.3948439376,446.605156062412
2019-11-26,47070,46636.7161663634,433.283833636633
2019-11-27,47380,46619.5722816895,760.427718310546
2019-11-28,47350,46601.9570007901,748.042999209859
2019-11-29,47320,46583.8644488696,736.135551130435
2019-12-02,47300,46565.2890603436,734.710939656361
2019-12-03,47080,46546.2255739158,533.774426084192
2019-12-04,46980,46526.6690319909,453.330968009105
2019-12-05,47200,46506.6146976131,693.385302386933
2019-12-06,47320,46486.0580212168,833.941978783147
2019-12-09,48340,46464.9947398528,1875.00526014716
2019-12-10,48540,46443.4209352898,2096.57906471016
2019-12-11,49000,46421.3334643508,2578.66653564915
2019-12-12,49030,46398.7300504973,2631.26994950274
2019-12-13,49010,46375.6094831099,2634.39051689014
2019-12-16,49100,46351.9716392289,2748.02836077108
2019-12-17,49260,46327.8174848464,2932.18251515358
2019-12-18,49070,46303.1491218798,2766.85087812023
2019-12-19,49110,46277.9698642906,2832.03013570937
2019-12-20,49030,46252.2841697473,2777.71583025266
2019-12-23,49050,46226.097666565,2823.90233343501
2019-12-24,49590,46199.4171312546,3390.58286874535
2019-12-25,49600,46172.2505076144,3427.74949238558
2019-12-26,49650,46144.6071409745,3505.39285902553
2019-12-27,49730,46116.4977935586,3613.50220644144
2019-12-30,49510,46087.9346765769,3422.06532342308
2019-12-31,49150,46058.9314949181,3091.06850508189
2020-01-02,49230,46029.5033680145,3200.49663198549
2020-01-03,48780,45999.6666930227,2780.33330697734
2020-01-06,48760,45969.4391900541,2790.56080994589
2020-01-07,49010,45938.8397284997,3071.16027150027
2020-01-08,48860,45907.8883312556,2952.11166874436
2020-01-09,48960,45876.6062907104,3083.3937092896
2020-01-10,49010,45845.0161195394,3164.98388046058
2020-01-13,48940,45813.1416049682,3126.85839503181
2020-01-14,49310,45781.0078424995,3528.99215750054
2020-01-15,49260,45748.6412201538,3511.35877984624
2020-01-16,49200,45716.0695846936,3483.93041530638
2020-01-17,49250,45683.3222343375,3566.67776566247
2020-01-20,49100,45650.4299074198,3449.57009258022
2020-01-21,48420,45617.4248165964,2802.5751834036
2020-01-22,48540,45584.3406004368,2955.65939956321
2020-01-23,48020,45551.2120559823,2468.78794401775
2020-02-03,45040,45518.0752020249,-478.075202024912
2020-02-04,45260,45484.9670778544,-224.967077854429
2020-02-05,45550,45451.9245251434,98.0754748565559
2020-02-06,46040,45418.9842925724,621.015707427603
2020-02-07,45690,45386.183169362,303.816830638002
2020-02-10,45410,45353.558201436,56.4417985640198
