"LALTDate","LALTClose","LALT_hpft","LALT_hpfc"
2020-03-12,1661.5,1637.84103539462,23.6589646053763
2020-03-13,1690,1636.21955242468,53.7804475753222
2020-03-16,1681,1634.62047766184,46.3795223381636
2020-03-17,1643,1633.04526739692,9.95473260307906
2020-03-18,1638.5,1631.49539709216,7.00460290783678
2020-03-19,1629.5,1629.97234632468,-0.472346324680428
2020-03-20,1577,1628.47759756712,-51.4775975671229
2020-03-23,1563.5,1627.01263309677,-63.5126330967658
2020-03-24,1553.35,1625.57891391212,-72.2289139121172
2020-03-25,1548,1624.17787475816,-76.1778747581578
2020-03-26,1540.5,1622.81092052328,-82.3109205232845
2020-03-27,1552.5,1621.47942460716,-68.9794246071645
2020-03-30,1528,1620.18472638534,-92.1847263853403
2020-03-31,1525.5,1618.92813672001,-93.4281367200095
2020-04-01,1495,1617.71092836794,-122.710928367941
2020-04-02,1504,1616.53433546651,-112.534335466511
2020-04-03,1480,1615.39954142926,-135.399541429257
2020-04-06,1475,1614.3076831526,-139.307683152599
2020-04-07,1477.7,1613.25984156426,-135.559841564256
2020-04-08,1469,1612.25704000759,-143.25704000759
2020-04-09,1484,1611.30024579124,-127.300245791238
2020-04-14,1515,1610.39036700686,-95.3903670068591
2020-04-15,1512,1609.52825912549,-97.5282591254925
2020-04-16,1513,1608.71473818759,-95.7147381875946
2020-04-17,1505,1607.9505799194,-102.950579919396
2020-04-20,1504,1607.23652048246,-103.236520482463
2020-04-21,1490,1606.57325348271,-116.573253482707
2020-04-22,1520,1605.96142985221,-85.9614298522066
2020-04-23,1510,1605.4016523365,-95.4016523365003
2020-04-24,1514.5,1604.89448814789,-90.3944881478916
2020-04-27,1505,1604.44046506372,-99.4404650637235
2020-04-28,1504,1604.04007349564,-100.040073495635
2020-04-29,1505.5,1603.69376275074,-98.1937627507364
2020-04-30,1493.5,1603.4019407835,-109.901940783497
2020-05-01,1484.5,1603.16497495916,-118.664974959163
2020-05-04,1484.7,1602.98318721381,-118.283187213808
2020-05-05,1490,1602.85685043237,-112.856850432366
2020-05-06,1482.5,1602.786188606,-120.286188606005
2020-05-07,1492.2,1602.77137907563,-110.571379075627
2020-05-11,1496.5,1602.8125494606,-106.312549460598
2020-05-12,1480.5,1602.90978167444,-122.409781674441
2020-05-13,1476,1603.06311368532,-127.063113685318
2020-05-14,1476,1603.27253286232,-127.272532862319
2020-05-15,1460,1603.53797405155,-143.537974051545
2020-05-18,1499,1603.85931948981,-104.859319489806
2020-05-19,1488.5,1604.2363920813,-115.736392081304
2020-05-20,1514,1604.66897138526,-90.6689713852595
2020-05-21,1521,1605.1567891203,-84.1567891202977
2020-05-22,1503.5,1605.69953952599,-102.199539525994
2020-05-26,1521.5,1606.29688205506,-84.7968820550554
2020-05-27,1529.5,1606.94843391503,-77.4484339150325
2020-05-28,1538.5,1607.65377726184,-69.1537772618423
2020-05-29,1547,1608.41246223723,-61.4124622372295
2020-06-01,1538,1609.22401039759,-71.224010397585
2020-06-02,1559,1610.08791791394,-51.0879179139418
2020-06-03,1565.5,1611.00365151609,-45.503651516087
2020-06-04,1564.5,1611.97065681615,-47.4706568161495
2020-06-05,1592,1612.98836061698,-20.9883606169803
2020-06-08,1605,1614.05617009875,-9.05617009875206
2020-06-09,1603,1615.17348376605,-12.173483766049
2020-06-10,1627,1616.33969637996,10.6603036200446
2020-06-11,1594,1617.55419766953,-23.5541976695304
2020-06-12,1576,1618.81638177042,-42.8163817704152
2020-06-15,1587.5,1620.12563308177,-32.6256330817733
2020-06-16,1604,1621.48131830431,-17.4813183043123
2020-06-17,1607.5,1622.88279065263,-15.3827906526266
2020-06-18,1600,1624.32939611517,-24.329396115167
2020-06-19,1586,1625.8204743218,-39.8204743218013
2020-06-22,1602.5,1627.3553548456,-24.8553548455987
2020-06-23,1591.5,1628.93335079938,-37.433350799381
2020-06-24,1575.5,1630.55376502178,-55.0537650217753
2020-06-25,1573,1632.21588487814,-59.2158848781362
2020-06-26,1597.5,1633.91897497658,-36.4189749765758
2020-06-29,1613,1635.66227544802,-22.6622754480154
2020-06-30,1618,1637.44501136896,-19.4450113689617
2020-07-01,1623.5,1639.26639844826,-15.7663984482562
2020-07-02,1624,1641.12564435715,-17.1256443571499
2020-07-03,1612,1643.02195024956,-31.0219502495588
2020-07-06,1635,1644.95451020038,-9.95451020037841
2020-07-07,1635,1646.92250546132,-11.9225054613214
2020-07-08,1665,1648.92511316919,16.0748868308118
2020-07-09,1649,1650.96150553267,-1.96150553267458
2020-07-10,1689,1653.03086140501,35.9691385949941
2020-07-13,1689.5,1655.13235882871,34.3676411712866
2020-07-14,1682.5,1657.26519071451,25.2348092854853
2020-07-15,1678.5,1659.42856417929,19.0714358207078
2020-07-16,1668.5,1661.62169677098,6.87830322902339
2020-07-17,1663,1663.84381392088,-0.843813920877423
2020-07-20,1662.5,1666.09414390357,-3.59414390356902
2020-07-21,1699,1668.3719146447,30.6280853553048
2020-07-22,1689.5,1670.67635258439,18.8236474156061
2020-07-23,1708.5,1673.00669682314,35.4933031768559
2020-07-24,1697,1675.36219424235,21.6378057576521
2020-07-27,1710,1677.74210639488,32.2578936051246
2020-07-28,1725.5,1680.1457037779,45.3542962220974
2020-07-29,1727.5,1682.57227022267,44.9277297773283
2020-07-30,1724.5,1685.02110830805,39.4788916919463
2020-07-31,1710,1687.49153918426,22.5084608157431
2020-08-03,1744.5,1689.98290032038,54.5170996796244
2020-08-04,1768,1692.49453848974,75.505461510257
2020-08-05,1760.5,1695.0258230008,65.474176999205
2020-08-06,1778,1697.57615437291,80.4238456270944
2020-08-07,1759.5,1700.14496018986,59.3550398101427
2020-08-10,1783,1702.73170127934,80.2682987206597
2020-08-11,1786,1705.33586300413,80.6641369958707
2020-08-12,1785,1707.95696390665,77.043036093353
2020-08-13,1763.5,1710.59455587261,52.9054441273881
2020-08-14,1741,1713.24822263425,27.7517773657497
2020-08-17,1757,1715.91756979275,41.0824302072472
2020-08-18,1773,1718.60221442081,54.3977855791941
2020-08-19,1792,1721.30179057293,70.6982094270686
2020-08-20,1783,1724.01595478948,58.9840452105191
2020-08-21,1768,1726.74439283461,41.2556071653919
2020-08-24,1770,1729.4868148541,40.5131851459024
2020-08-25,1779,1732.24294804714,46.7570519528616
2020-08-26,1776,1735.01253635947,40.9874636405347
2020-08-27,1778,1737.79534306426,40.2046569357356
2020-08-28,1798,1740.59114837731,57.4088516226894
2020-09-01,1818.5,1743.39974913339,75.1002508666123
2020-09-02,1790.5,1746.22096589775,44.2790341022521
2020-09-03,1778,1749.05465027908,28.9453497209152
2020-09-04,1791.5,1751.90067218927,39.5993278107272
2020-09-07,1797.5,1754.75891350502,42.7410864949838
2020-09-08,1795,1757.62927247181,37.3707275281941
2020-09-09,1783.5,1760.51166500255,22.9883349974493
2020-09-10,1778.5,1763.40602245777,15.0939775422331
2020-09-11,1775,1766.31228570037,8.6877142996346
2020-09-14,1802,1769.23040183253,32.7695981674656
