"LZNTDate","LZNTClose","LZNT_hpft","LZNT_hpfc"
2016-03-24,1790.5,1778.11225943306,12.3877405669374
2016-03-29,1795,1781.98992090703,13.0100790929731
2016-03-30,1797.5,1785.89800802872,11.601991971278
2016-03-31,1818,1789.83603319148,28.1639668085247
2016-04-01,1865,1793.80351358437,71.1964864156278
2016-04-04,1856,1797.79997803836,58.2000219616361
2016-04-05,1812.5,1801.82498481418,10.6750151858158
2016-04-06,1797,1805.8781162301,-8.87811623010255
2016-04-07,1750.5,1809.958959017,-59.4589590169953
2016-04-08,1758.5,1814.06709623588,-55.5670962358828
2016-04-11,1758.5,1818.20208636988,-59.7020863698755
2016-04-12,1846.5,1822.36346493286,24.1365350671424
2016-04-13,1878,1826.55074276027,51.4492572397264
2016-04-14,1861.5,1830.76344066463,30.7365593353675
2016-04-15,1880,1835.00110072551,44.9988992744927
2016-04-18,1890.5,1839.26327772776,51.2367222722395
2016-04-19,1931.5,1843.54954505693,87.9504549430731
2016-04-20,1931,1847.85949727781,83.1405027221942
2016-04-21,1904.5,1852.19276531033,52.3072346896738
2016-04-22,1908,1856.54901444138,51.45098555862
2016-04-25,1872,1860.92793157958,11.0720684204163
2016-04-26,1896.5,1865.32922490129,31.1707750987132
2016-04-27,1885.5,1869.75260715961,15.7473928403947
2016-04-28,1912,1874.19780399239,37.8021960076116
2016-04-29,1936.5,1878.66454754684,57.8354524531609
2016-05-03,1895,1883.15258559604,11.8474144039572
2016-05-04,1882,1887.66168981997,-5.66168981996706
2016-05-05,1861,1892.19163679581,-31.1916367958074
2016-05-06,1882.5,1896.74220076047,-14.2422007604696
2016-05-09,1831.5,1901.31314305746,-69.8131430574584
2016-05-10,1850,1905.90421914312,-55.9042191431182
2016-05-11,1906.5,1910.51515561587,-4.01515561587131
2016-05-12,1875,1915.14565596559,-40.1456559655919
2016-05-13,1896,1919.79542202244,-23.795422022439
2016-05-16,1898,1924.46413902196,-26.464139021963
2016-05-17,1900,1929.15148236366,-29.1514823636601
2016-05-18,1893,1933.85711650782,-40.8571165078205
2016-05-19,1862.5,1938.58069386466,-76.0806938646601
2016-05-20,1861,1943.32184995568,-82.3218499556816
2016-05-23,1833,1948.08018885374,-115.080188853744
2016-05-24,1828,1952.85528060314,-124.855280603145
2016-05-25,1839.5,1957.64664767864,-118.146647678639
2016-05-26,1876.5,1962.45376094487,-85.9537609448671
2016-05-27,1904,1967.27604242937,-63.2760424293707
2016-05-31,1923,1972.11287862987,-49.1128786298651
2016-06-01,1964,1976.96362988831,-12.9636298883115
2016-06-02,1977.5,1981.82763624535,-4.32763624534598
2016-06-03,1998,1986.704232383,11.2957676170014
2016-06-06,2028,1991.59275119441,36.4072488055942
2016-06-07,1994.5,1996.49253024194,-1.99253024193522
2016-06-08,2075.5,2001.40292213723,74.0970778627712
2016-06-09,2072,2006.32327866831,65.6767213316884
2016-06-10,2088.5,2011.25298225195,77.2470177480501
2016-06-13,2076,2016.19144245303,59.8085575469673
2016-06-14,2017,2021.13810076726,-4.13810076725727
2016-06-15,2037.5,2026.09242341277,11.4075765872256
2016-06-16,1991,2031.05387489723,-40.0538748972278
2016-06-17,1979,2036.02192444367,-57.0219244436683
2016-06-20,2017.5,2040.9960247185,-23.4960247184956
2016-06-21,2037.5,2045.97560481754,-8.47560481754112
2016-06-22,2046,2050.96008412432,-4.96008412431553
2016-06-23,2041.5,2055.94887851887,-14.4488785188655
2016-06-24,2022,2060.94140183094,-38.9414018309354
2016-06-27,1996,2065.93706191768,-69.9370619176812
2016-06-28,2078.5,2070.93525053945,7.56474946054554
2016-06-29,2086,2075.93533054743,10.0646694525678
2016-06-30,2106,2080.93666791976,25.0633320802427
2016-07-01,2156,2085.9386327949,70.0613672050996
2016-07-04,2117.5,2090.94060567151,26.5593943284916
2016-07-05,2105.5,2095.94199600878,9.55800399122137
2016-07-06,2117,2100.9422242445,16.0577757555042
2016-07-07,2098,2105.94071476734,-7.94071476733658
2016-07-08,2143,2110.93689860362,32.0631013963811
2016-07-11,2134.5,2115.93020349728,18.5697965027169
2016-07-12,2192,2120.92007044587,71.0799295541295
2016-07-13,2179.5,2125.90594812294,53.5940518770631
2016-07-14,2191,2130.88731458361,60.1126854163882
2016-07-15,2206,2135.86367003665,70.1363299633489
2016-07-18,2224.5,2140.83453953898,83.6654604610182
2016-07-19,2245,2145.79947713907,99.200522860927
2016-07-20,2245,2150.7580714693,94.2419285306951
2016-07-21,2249,2155.70995216761,93.2900478323891
2016-07-22,2255,2160.65478782772,94.345212172281
2016-07-25,2257,2165.59228560571,91.407714394288
2016-07-26,2232,2170.5221916562,61.4778083437976
2016-07-27,2166.5,2175.44428991805,-8.94428991805081
2016-07-28,2208.5,2180.3583897426,28.1416102573997
2016-07-29,2246.5,2185.26429678397,61.2357032160259
2016-08-01,2262,2190.16182832889,71.8381716711065
2016-08-02,2275.5,2195.05082697648,80.4491730235204
2016-08-03,2279.5,2199.93116502085,79.5688349791545
2016-08-04,2255,2204.80274801056,50.1972519894384
2016-08-05,2266.5,2209.66551438476,56.8344856152375
2016-08-08,2281,2214.5194233321,66.4805766678963
2016-08-09,2273.5,2219.36445753432,54.1355424656753
2016-08-10,2284,2224.20062715358,59.7993728464214
2016-08-11,2278.5,2229.02796472947,49.4720352705333
2016-08-12,2237.5,2233.84652752024,3.65347247976207
2016-08-15,2263.5,2238.65639323389,24.843606766105
2016-08-16,2257.5,2243.45764108866,14.0423589113399
2016-08-17,2274,2248.25036057207,25.749639427926
2016-08-18,2296,2253.03464697623,42.9653530237717
2016-08-19,2295,2257.81060623709,37.1893937629087
2016-08-22,2284.5,2262.57836205077,21.9216379492282
2016-08-23,2302.5,2267.338053486,35.1619465139999
2016-08-24,2280,2272.08982867301,7.91017132699225
2016-08-25,2296.5,2276.83385027656,19.6661497234383
2016-08-26,2320,2281.57028423119,38.4297157688143
2016-08-30,2312.5,2286.29930460059,26.2006953994102
2016-08-31,2315.5,2291.0211013338,24.4788986662005
2016-09-01,2345,2295.73587521013,49.2641247898708
2016-09-02,2363.5,2300.4438371275,63.0561628724964
2016-09-05,2358,2305.14521834765,52.8547816523525
2016-09-06,2317.5,2309.84027619718,7.65972380282079
2016-09-07,2319.5,2314.52928985075,4.97071014924989
2016-09-08,2313,2319.21254164923,-6.2125416492258
2016-09-09,2292,2323.89031598817,-31.8903159881715
2016-09-12,2263.5,2328.56289469514,-65.0628946951439
2016-09-13,2231.5,2333.23054641551,-101.730546415514
2016-09-14,2275.5,2337.89351290028,-62.393512900277
2016-09-15,2231.5,2342.5519938491,-111.051993849102
2016-09-16,2217,2347.2061631707,-130.206163170701
2016-09-19,2254.5,2351.85614886935,-97.3561488693459
2016-09-20,2298.5,2356.50202512732,-58.0020251273227
2016-09-21,2261.5,2361.1438258838,-99.6438258837969
2016-09-22,2285,2365.78156110223,-80.7815611022297
2016-09-23,2276.5,2370.41519955733,-93.9151995573338
2016-09-26,2287,2375.04467663198,-88.0446766319769
2016-09-27,2306,2379.66988888825,-73.6698888882495
2016-09-28,2335,2384.29069649412,-49.2906964941203
2016-09-29,2355,2388.90692916538,-33.9069291653826
2016-09-30,2377.5,2393.51839624305,-16.0183962430499
2016-10-03,2409,2398.12489305236,10.8751069476379
2016-10-04,2379.5,2402.72620829721,-23.2262082972054
2016-10-05,2345,2407.32213517679,-62.3221351767897
2016-10-06,2324,2411.91245728955,-87.9124572895532
