"AL0Date","AL0Close","AL0_hpft","AL0_hpfc"
2020-12-15,16230,15618.15830694,611.841693059976
2020-12-16,16370,15639.3572478478,730.642752152189
2020-12-17,16515,15660.6666006953,854.333399304715
2020-12-18,16780,15682.0921348666,1097.90786513336
2020-12-21,16280,15703.6399728932,576.360027106752
2020-12-22,15840,15725.3166911372,114.683308862838
2020-12-23,15705,15747.1291042048,-42.1291042048374
2020-12-24,15940,15769.0840741078,170.915925892188
2020-12-25,15900,15791.1884454434,108.811554556556
2020-12-28,15565,15813.4491334586,-248.449133458566
2020-12-29,15365,15835.8730983788,-470.873098378792
2020-12-30,15490,15858.4671977308,-368.467197730832
2020-12-31,15460,15881.2380944007,-421.238094400741
2021-01-04,15430,15904.1922989655,-474.192298965549
2021-01-05,15370,15927.3361478791,-557.336147879059
2021-01-06,15400,15950.6757815837,-550.675781583748
2021-01-07,15320,15974.2171101409,-654.217110140867
2021-01-08,15340,15997.9658159851,-657.965815985137
2021-01-11,15010,16021.9273111241,-1011.9273111241
2021-01-12,14905,16046.106735588,-1141.10673558798
2021-01-13,14760,16070.5088111181,-1310.50881111813
2021-01-14,14805,16095.1377877676,-1290.13778776755
2021-01-15,14875,16119.9973738772,-1244.99737387724
2021-01-18,14940,16145.0907444982,-1205.09074449817
2021-01-19,14745,16170.4205600483,-1425.42056004831
2021-01-20,14805,16195.9889828107,-1390.9889828107
2021-01-21,14975,16221.7975858558,-1246.79758585579
2021-01-22,14905,16247.8473672756,-1342.84736727563
2021-01-25,14945,16274.1388097865,-1329.1388097865
2021-01-26,14845,16300.6718410251,-1455.6718410251
2021-01-27,14885,16327.4458392158,-1442.44583921583
2021-01-28,14815,16354.4595808671,-1539.45958086709
2021-01-29,15005,16381.7112462374,-1376.71124623739
2021-02-01,15260,16409.198379236,-1149.198379236
2021-02-02,14945,16436.9179546935,-1491.91795469348
2021-02-03,14965,16464.8664724091,-1499.86647240912
2021-02-04,15280,16493.0398154831,-1213.03981548311
2021-02-05,15555,16521.4332470305,-966.433247030454
2021-02-08,15780,16550.0415287452,-770.041528745181
2021-02-09,15865,16578.8590228361,-713.859022836054
2021-02-10,15900,16607.8797732077,-707.879773207746
2021-02-18,16510,16637.0975286847,-127.097528684719
2021-02-19,16490,16666.5057454822,-176.505745482174
2021-02-22,16735,16696.0978272784,38.9021727216193
2021-02-23,16690,16725.8671047907,-35.8671047907077
2021-02-24,16630,16755.8069248178,-125.806924817781
2021-02-25,17480,16785.9106193318,694.089380668153
2021-02-26,17465,16816.171468302,648.828531698045
2021-03-01,17020,16846.5830386052,173.416961394818
2021-03-02,16890,16877.1391653188,12.8608346811749
2021-03-03,17640,16907.8337552036,732.166244796392
2021-03-04,17130,16938.6607203365,191.339279663486
2021-03-05,17245,16969.6142754424,275.385724557558
