"","Hybrid_NextClose","Hybrid_Next_hpft","Hybrid_Next_hpfc"
"2017-07-10",4754750,4745481.42038019,9268.57961980912
"2017-07-11",4759500,4744466.53858917,15033.4614108335
"2017-07-12",4763500,4743453.05950318,20046.9404968187
"2017-07-13",4770250,4742440.76222163,27809.2377783674
"2017-07-14",4769750,4741429.43413052,28320.5658694819
"2017-07-17",4770500,4740418.87411106,30081.1258889443
"2017-07-18",4756750,4739408.89275105,17341.1072489541
"2017-07-19",4755000,4738399.31307262,16600.6869273816
"2017-07-20",4767000,4737389.96526602,29610.0347339814
"2017-07-21",4761000,4736380.68638355,24619.3136164517
"2017-07-24",4766750,4735371.32571711,31378.6742828927
"2017-07-25",4756000,4734361.74273523,21638.2572647709
"2017-07-26",4742500,4733351.80987713,9148.1901228696
"2017-07-27",4752500,4732341.40852641,20158.5914735879
"2017-07-28",4748000,4731330.42384817,16669.5761518305
