"HC0Date","HC0Close","HC0_hpft","HC0_hpfc"
2020-11-02,3875,4050.98993738938,-175.98993738938
2020-11-03,3862,4059.62096824367,-197.620968243667
2020-11-04,3887,4068.34375805095,-181.343758050947
2020-11-05,3903,4077.15799677267,-174.157996772668
2020-11-06,3920,4086.06329941035,-166.063299410354
2020-11-09,3983,4095.05920897595,-112.059208975949
2020-11-10,3933,4104.14519983679,-171.145199836789
2020-11-11,3948,4113.32070004003,-165.320700040033
2020-11-12,3924,4122.58506688775,-198.585066887754
2020-11-13,3970,4131.93758934586,-161.937589345859
2020-11-16,3998,4141.37747429241,-143.377474292409
2020-11-17,4053,4150.90386166733,-97.9038616673302
2020-11-18,4047,4160.51583214398,-113.515832143977
2020-11-19,4078,4170.21242592638,-92.2124259263803
2020-11-20,4084,4179.99263629549,-95.9926362954921
2020-11-23,4011,4189.85541841536,-178.855418415359
2020-11-24,4042,4199.79968777061,-157.79968777061
2020-11-25,4032,4209.82428591413,-177.824285914133
2020-11-26,4082,4219.92798917098,-137.927989170979
2020-11-27,4151,4230.10950036045,-79.1095003604458
2020-11-30,4175,4240.36746528827,-65.3674652882737
2020-12-01,4178,4250.70049705944,-72.7004970594431
2020-12-02,4267,4261.10718175854,5.89281824145882
2020-12-03,4229,4271.58607541884,-42.586075418844
2020-12-04,4284,4282.13573650929,1.86426349070548
2020-12-07,4335,4292.75470589556,42.2452941044366
2020-12-08,4313,4303.44152521401,9.55847478598919
2020-12-09,4275,4314.19475356334,-39.1947535633431
2020-12-10,4348,4325.01295399347,22.9870460065321
2020-12-11,4325,4335.89467335278,-10.8946733527842
2020-12-14,4317,4346.83846799155,-29.8384679915531
2020-12-15,4374,4357.84288975651,16.1571102434903
2020-12-16,4418,4368.90647816054,49.0935218394571
2020-12-17,4446,4380.02777939515,65.9722206048533
2020-12-18,4609,4391.2053599452,217.794640054799
2020-12-21,4742,4402.43781356585,339.562186434149
2020-12-22,4698,4413.72382403961,284.276175960392
2020-12-23,4609,4425.06221551055,183.937784489453
2020-12-24,4584,4436.45192963089,147.548070369114
2020-12-25,4589,4447.89198408529,141.108015914708
2020-12-28,4418,4459.38145754911,-41.3814575491135
2020-12-29,4401,4470.91948702597,-69.9194870259696
2020-12-30,4436,4482.50519241405,-46.5051924140532
2020-12-31,4554,4494.13766470963,59.8623352903696
2021-01-04,4492,4505.81597568558,-13.8159756855849
2021-01-05,4494,4517.53922185965,-23.5392218596462
2021-01-06,4518,4529.30649403836,-11.3064940383572
2021-01-07,4657,4541.11687329813,115.883126701874
2021-01-08,4646,4552.96943604179,93.0305639582077
2021-01-11,4458,4564.86330657354,-106.863306573537
2021-01-12,4462,4576.79764765271,-114.797647652706
2021-01-13,4438,4588.77157786562,-150.771577865619
2021-01-14,4429,4600.78416834588,-171.784168345876
2021-01-15,4489,4612.83442790412,-123.834427904122
2021-01-18,4503,4624.92129434237,-121.921294342366
2021-01-19,4384,4637.04365427451,-253.043654274514
2021-01-20,4413,4649.20034391703,-236.200343917034
2021-01-21,4430,4661.39009488842,-231.390094888417
2021-01-22,4362,4673.61154117124,-311.611541171241
2021-01-25,4426,4685.86322110085,-259.863221100845
2021-01-26,4428,4698.14354420492,-270.143544204915
2021-01-27,4521,4710.4508125941,-189.450812594096
2021-01-28,4423,4722.78321671254,-299.783216712537
2021-01-29,4390,4735.13886869308,-345.138868693076
2021-02-01,4342,4747.51575675016,-405.515756750163
2021-02-02,4307,4759.91172643177,-452.911726431774
2021-02-03,4335,4772.32445566196,-437.324455661958
2021-02-04,4387,4784.75143514926,-397.75143514926
2021-02-05,4450,4797.18997482992,-347.189974829923
2021-02-08,4546,4809.63722022569,-263.637220225687
2021-02-09,4616,4822.09017334396,-206.090173343959
2021-02-10,4608,4834.54572721509,-226.545727215092
2021-02-18,4708,4847.00068968006,-139.000689680061
2021-02-19,4690,4859.45177493494,-169.451774934944
2021-02-22,4822,4871.89563971855,-49.8956397185519
2021-02-23,4799,4884.32887072508,-85.3288707250795
2021-02-24,4816,4896.74803402394,-80.7480340239407
2021-02-25,4908,4909.14966041296,-1.14966041296145
2021-02-26,4887,4921.53024731201,-34.5302473120117
2021-03-01,4841,4933.88629166578,-92.8862916657813
2021-03-02,4907,4946.21427614543,-39.2142761454284
2021-03-03,5026,4958.51064502675,67.4893549732449
2021-03-04,5016,4970.77182637594,45.2281736240613
2021-03-05,4878,4982.99427615653,-104.994276156533
2021-03-08,4964,4995.1744690276,-31.174469027598
2021-03-09,4820,5007.3088362478,-187.308836247797
2021-03-10,4818,5019.39379618943,-201.393796189427
2021-03-11,4925,5031.42568979915,-106.425689799151
2021-03-12,4995,5043.40077477508,-48.4007747750814
2021-03-15,5068,5055.31526482356,12.6847351764365
2021-03-16,4931,5067.16535364385,-136.165353643848
