"J0Date","J0Close","J0_hpft","J0_hpfc"
2013-05-09,1516,1601.00271658117,-85.0027165811713
2013-05-10,1546,1599.4404648721,-53.440464872096
2013-05-13,1576,1597.89334346383,-21.8933434638325
2013-05-14,1574,1596.36229091471,-22.3622909147137
2013-05-15,1516,1594.84823673318,-78.8482367331752
2013-05-16,1514,1593.35210118407,-79.3521011840678
2013-05-17,1551,1591.87477193946,-40.8747719394551
2013-05-20,1556,1590.41710387051,-34.417103870511
2013-05-21,1562,1588.97993495237,-26.9799349523728
2013-05-22,1571,1587.56408893354,-16.5640889335415
2013-05-23,1545,1586.17037841012,-41.1703784101212
2013-05-24,1552,1584.79960913128,-32.7996091312833
2013-05-27,1514,1583.45256982799,-69.4525698279949
2013-05-28,1515,1582.13003567317,-67.130035673173
2013-05-29,1485,1580.8327531309,-95.8327531309036
2013-05-30,1493,1579.56144091632,-86.5614409163206
2013-05-31,1468,1578.31677813129,-110.316778131288
2013-06-03,1487,1577.0994080965,-90.0994080964981
2013-06-04,1495,1575.9099285322,-80.9099285322016
2013-06-05,1493,1574.74889991514,-81.7488999151412
2013-06-06,1432,1573.61684927723,-141.616849277234
2013-06-07,1439,1572.51426985864,-133.514269858637
2013-06-13,1435,1571.44159636075,-136.441596360755
2013-06-14,1439,1570.39920829562,-131.399208295618
2013-06-17,1451,1569.3874287757,-118.387428775698
2013-06-18,1454,1568.40652659841,-114.406526598409
2013-06-19,1459,1567.45672162455,-108.456721624547
2013-06-20,1408,1566.53818642386,-158.538186423857
