"IF00C1Date","IF00C1Close","IF00C1_hpft","IF00C1_hpfc"
2016-01-08,3309,3282.29865100177,26.7013489982314
2016-01-11,3151.8,3277.62347072659,-125.823470726586
2016-01-12,3196.6,3272.99143330963,-76.3914333096262
2016-01-13,3152.8,3268.40490193803,-115.604901938026
2016-01-14,3204.6,3263.86620822184,-59.2662082218419
2016-01-15,3132.8,3259.37763598467,-126.577635984674
2016-01-18,3042,3254.94144455176,-212.941444551764
2016-01-19,3134,3250.5598409264,-116.559840926398
2016-01-20,3074,3246.23494409034,-172.234944090336
2016-01-21,3011,3241.96882484416,-230.968824844157
2016-01-22,3042,3237.76348279343,-195.763482793427
2016-01-25,3044.2,3233.62082207067,-189.420822070666
2016-01-26,2899,3229.54266588756,-330.542665887556
2016-01-27,2867.6,3225.53075915674,-357.930759156741
2016-01-28,2816.8,3221.58671015799,-404.786710157989
2016-01-29,2903.8,3217.71197921668,-313.911979216678
2016-02-01,2883.8,3213.90785933572,-330.107859335719
2016-02-02,2948.8,3210.17551375942,-261.375513759423
2016-02-03,2939.4,3206.51596927871,-267.115969278707
2016-02-04,2978.8,3202.93014464284,-224.13014464284
2016-02-05,2937.2,3199.4188481853,-262.218848185296
2016-02-15,2929.8,3195.98279559383,-266.182795593826
2016-02-16,3016.6,3192.62259416505,-176.022594165046
2016-02-17,3045.6,3189.33874116673,-143.738741166727
2016-02-18,3050.6,3186.13166110535,-135.531661105349
2016-02-19,3048.6,3183.00171907214,-134.401719072135
2016-02-22,3042,3179.94922413477,-137.94922413477
2016-02-23,3022.4,3176.97442980483,-154.574429804825
2016-02-24,3039.8,3174.07753257096,-134.277532570963
2016-02-25,2847,3171.25866502717,-324.258665027165
2016-02-26,2880,3168.5179042623,-288.517904262297
2016-02-29,2789,3165.85519332988,-376.855193329879
2016-03-01,2864.2,3163.2703560217,-299.070356021699
2016-03-02,3009,3160.76306035287,-151.763060352869
2016-03-03,3008.6,3158.33285071477,-149.732850714773
2016-03-04,3052.4,3155.97920876575,-103.57920876575
2016-03-07,3083.8,3153.70155427092,-69.9015542709223
2016-03-08,3075.4,3151.49926418015,-76.0992641801547
2016-03-09,3016.6,3149.37168654821,-132.771686548206
2016-03-10,2983,3147.31813797399,-164.318137973992
2016-03-11,2986.6,3145.33788017369,-158.737880173689
2016-03-14,3042,3143.43010694115,-101.430106941151
2016-03-15,3046.6,3141.59394645415,-94.9939464541503
2016-03-16,3062,3139.82848496347,-77.8284849634661
2016-03-17,3123,3138.13276945306,-15.1327694530597
2016-03-18,3176.8,3136.50581473593,40.2941852640707
2016-03-21,3210.2,3134.94662936952,75.2533706304817
2016-03-22,3194.6,3133.45423856761,61.145761432388
2016-03-23,3196,3132.02769865061,63.9723013493889
2016-03-24,3144.8,3130.66609121398,14.1339087860203
2016-03-25,3162.8,3129.36852429687,33.4314757031301
2016-03-28,3129.8,3128.13411178073,1.66588821926785
2016-03-29,3104,3126.96198136616,-22.9619813661609
2016-03-30,3190,3125.8512614426,64.1487385574046
2016-03-31,3191,3124.80107090782,66.198929092182
2016-04-01,3206.6,3123.8105551762,82.7894448237962
2016-04-05,3236.2,3122.8788870259,113.321112974101
2016-04-06,3239.4,3122.00527345706,117.394726542939
2016-04-07,3202.8,3121.18896831228,81.6110316877207
2016-04-08,3180,3120.42927396015,59.570726039846
2016-04-11,3213.8,3119.72552650421,94.0744734957946
2016-04-12,3215.4,3119.07708667191,96.3229133280855
2016-04-13,3251.6,3118.48335407756,133.116645922441
2016-04-14,3269.2,3117.94376815132,151.256231848682
2016-04-15,3270.2,3117.45782334852,152.742176651483
2016-04-18,3191.6,3117.02507664779,74.57492335221
2016-04-19,3192.6,3116.64514816503,75.9548518349733
2016-04-20,3114.8,3116.31768884257,-1.51768884256693
2016-04-21,3115,3116.04238101941,-1.04238101940766
2016-04-22,3141.2,3115.81890640713,25.3810935928707
2016-04-25,3127.6,3115.64694628647,11.9530537135324
2016-04-26,3143,3115.5261924298,27.4738075702
2016-04-27,3125.8,3115.4563415502,10.3436584497997
2016-04-28,3121.2,3115.43710171752,5.76289828247898
2016-04-29,3128,3115.46818527698,12.5318147230212
2016-05-03,3200,3115.54930695622,84.4506930437809
2016-05-04,3188.2,3115.68018666298,72.519813337016
2016-05-05,3192.6,3115.86057921343,76.7394207865651
2016-05-06,3088.4,3116.09026940055,-27.6902694005466
2016-05-09,3022,3116.36907373826,-94.3690737382586
2016-05-10,3035.2,3116.6967972945,-81.4967972945015
2016-05-11,3052.4,3117.07320612895,-64.6732061289455
2016-05-12,3066.6,3117.49803261364,-50.8980326136359
2016-05-13,3068,3117.97098238723,-49.9709823872312
2016-05-16,3082.4,3118.49174004932,-36.0917400493229
2016-05-17,3081.4,3119.05996954346,-37.6599695434624
2016-05-18,3058.6,3119.67531989434,-61.0753198943414
2016-05-19,3056.2,3120.33742455959,-64.1374245595884
2016-05-20,3066,3121.04589175056,-55.0458917505603
2016-05-23,3043,3121.80030316698,-78.8003031669802
2016-05-24,3028.6,3122.60021775479,-94.0002177547945
2016-05-25,3021.6,3123.4451618869,-101.845161886898
2016-05-26,3026,3124.33462308055,-98.3346230805543
2016-05-27,3033.6,3125.26804675412,-91.6680467541176
2016-05-30,3036.6,3126.24483767835,-89.6448376783472
2016-05-31,3158.8,3127.26436273226,31.5356372677449
2016-06-01,3131.8,3128.32595173917,3.47404826082531
2016-06-02,3135.4,3129.4289475581,5.97105244190317
2016-06-03,3177.4,3130.572694484,46.8273055160023
2016-06-06,3157.4,3131.7565392801,25.643460719898
2016-06-07,3160,3132.979848066,27.0201519339977
2016-06-08,3148,3134.24199756145,13.7580024385508
2016-06-13,3028.8,3135.54237565513,-106.742375655128
2016-06-14,3050.4,3136.88037592273,-86.4803759227343
2016-06-15,3100,3138.25534781699,-38.2553478169928
2016-06-16,3088,3139.66660504317,-51.6666050431751
2016-06-17,3113.4,3141.11344549322,-27.7134454932196
2016-06-20,3049.2,3142.59514570224,-93.395145702239
2016-06-21,3037.8,3144.11097074965,-106.310970749645
2016-06-22,3076,3145.66014710909,-69.6601471090872
2016-06-23,3061.6,3147.24185730961,-85.6418573096104
2016-06-24,3013.2,3148.8552550854,-135.655255085404
2016-06-27,3078,3150.49945876989,-72.499458769887
2016-06-28,3094,3152.17353062204,-58.1735306220389
2016-06-29,3111,3153.87650293243,-42.8765029324256
2016-06-30,3111.2,3155.60738394498,-44.4073839449786
2016-07-01,3101,3157.36516418034,-56.3651641803445
2016-07-04,3170,3159.14881580286,10.8511841971355
2016-07-05,3172.8,3160.95728767775,11.842712322248
2016-07-06,3184.2,3162.78953315573,21.41046684427
2016-07-07,3185.6,3164.64451048279,20.9554895172102
2016-07-08,3171.4,3166.52118675512,4.87881324487622
2016-07-11,3176.6,3168.4185377311,8.1814622689
2016-07-12,3262.6,3170.33554118587,92.2644588141304
2016-07-13,3272.4,3172.27117827635,100.128821723648
2016-07-14,3270.8,3174.22446829798,96.5755317020196
2016-07-15,3276.4,3176.19447193534,100.205528064661
2016-07-18,3224.2,3178.18028979349,46.0197102065131
2016-07-19,3206,3180.1810638984,25.8189361015967
2016-07-20,3196,3182.19595529878,13.804044701217
2016-07-21,3220.2,3184.22413571584,35.9758642841627
2016-07-22,3194.2,3186.26478257682,7.93521742317849
2016-07-25,3198,3188.31708817992,9.68291182008192
2016-07-26,3247,3190.38024810344,56.6197518965626
2016-07-27,3163,3192.45346192822,-29.453461928224
2016-07-28,3191,3194.53595263945,-3.5359526394521
2016-07-29,3181.8,3196.62693104741,-14.8269310474116
2016-08-01,3151.6,3198.72560650079,-47.1256065007858
2016-08-02,3164.8,3200.83118221938,-36.0311822193782
2016-08-03,3166,3202.94284194317,-36.9428419431696
2016-08-04,3177.2,3205.0597545183,-27.8597545183037
2016-08-05,3193,3207.18107352022,-14.1810735202232
2016-08-08,3223,3209.3059410083,13.6940589917012
2016-08-09,3244,3211.43349318,32.5665068200025
